Supplier Name,Supplier City/State,Supplier Country,Tier 2/sub-tier country,Raw material/Commodity Provided,commodity,"Source Port, in case of import",MDLZ Plant,Plant Location,Products manufactured that utilize the given raw material
PT BUMITANGERANG MESINDOTAMA,Jakarta,Indonesia,,Cocoa powder,Cocoa beans,Jakarta,Induri,"Pune,Maharashtra","Cadbury Dairy Milk, 5 Star"
GCB COCOA SINGAPORE PTE. LTD.,Batam,Indonesia,,Cocoa powder,Cocoa beans,Batam,Induri,"Pune,Maharashtra","Cadbury Dairy Milk, 5 Star"
COPLANA - COOPERATIVA AGROINDUSTRIA,Sao Paulo,Brazil,,Peanuts,Peanuts,Santos,Malanpur,"Gwalior, Madhya Pradesh","Cadbury Fuse, 5 star Nutty"
PEANUT CO OF AUSTRALIA LTD,Kingaroy,Australia,,Peanuts,Peanuts,Brisbane,Malanpur,"Gwalior, Madhya Pradesh","Cadbury Fuse, 5 star Nutty"
LIONEL HITCHEN LIMITED,London,UK,,Food Flavours,Specialised spec,London,Baddi,Himachal Pradesh,"CDM Silk, Crispello,Gems"
TIRUMALA MILK PRODUCTS,Ahmednagar,India,,Milk powder,Milk,,Induri,"Pune,Maharashtra","CDM Silk, Temptation"
SCHREIBER DYNAMIX DAIRIES PRIVATE LIMITED,Maharashtra,India,,Milk powder,Milk,,Induri,"Pune,Maharashtra","CDM Silk, Temptation"
AAK INDIA PRIVATE LIMITED,Mumbai,India,Malaysia,Fat,CPKO,,Malanpur,"Gwalior, Madhya Pradesh","CDM Shots,Perk"
M/S. ADANI WILMAR LIMITED,Kakinada,India,Malaysia,Fat,CPKO,,Malanpur,"Gwalior, Madhya Pradesh","CDM Shots,Perk"
UFLEX LIMITED,Jammu,India,,Laminate,Polymer,,Induri,"Pune,Maharashtra",Cadbury Dairy Milk
HUHTAMAKI INDIA LIMITED,Maharashtra,India,,Laminate,Polymer,,Sricity,Andhra Pradesh,Tang
PT BUMITANGERANG MESINDOTAMA,Jakarta,Indonesia,,Cocoa Butter,Cocoa beans,Jakarta,Induri,"Pune,Maharashtra","Cadbury Dairy Milk, Bournville"
BARRY CALLEBAUT COCOA AG,Jakarta,Indonesia,,Cocoa Butter,Cocoa beans,Jakarta,Induri,"Pune,Maharashtra","Cadbury Dairy Milk, Bournville"
WESTERN INDIA CASHEW CO. PVT. LTD.,Kollam,India,,Almonds,Almonds,,Induri,"Pune,Maharashtra","Cadbury Dairy Milk, Bournville"
OLAM AGRO INDIA PRIVATE LIMITED,California,USA,,Almonds,Almonds,Oakland,Induri,"Pune,Maharashtra","Cadbury Dairy Milk, Bournville"
MORLYNE CORPORATION,Mumbai,India,China,Paperstick,Paper,,Makson Pharma,"Surendranagar,Gujarat",CADBURY DAIRY MILK LOLLY
